Date,Open,High,Low,Close,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,SMA200,Dist_SMA200,High_52w,Dist_52w_High,Vol_MA20,Vol_Ratio,Chg_5d,Chg_10d,Chg_20d,Daily_Ret,Consec_Down,VIX,Month,Quarter,Fwd_90d,Fwd_90d_pct,RSI_Bucket,Dist52w_Bucket,Dist200_Bucket,Vol_Bucket,MACD_Cond,VIX_Bucket,Consec_Bucket,Chg5d_Bucket,Month_Name,Composite_Score
2024-01-03,47.4559877548122,48.15455817196312,47.291087653176916,47.53993606567383,320896000,46.73492660941885,0.44340633759588144,0.5888220306257361,-0.1454156930298547,40.7889021396637,16.551153798879355,50.373779296875,-5.6256315701469966,366858850.0,0.8747124404931216,-3.4700427611995432,-5.008291178727021,4.533471186820548,-0.012435617145474032,2,14.039999961853027,1,1,0.9004657965068914,90.04657965068914,RSI 45-50,<10% below,10-20% above,Normal (0.75-1x),MACD_Below_Signal,VIX<15,2 days,0-5% drop,Jan,0
2024-01-04,47.737819636783634,48.47037358886087,47.4789789763883,47.96868133544922,306535000,49.242817627323625,0.3612071921823343,0.5432990629370558,-0.18209187075472144,40.89936009407043,17.28467444262947,50.373779296875,-4.77450371005811,363599700.0,0.8430562511465218,-2.871473088851495,-3.2376264731506676,3.0752058622533385,0.00901863370584044,0,14.130000114440918,1,1,0.9034186257455643,90.34186257455643,RSI 45-50,<10% below,10-20% above,Normal (0.75-1x),MACD_Below_Signal,VIX<15,0-1 days,0-5% drop,Jan,0
2024-01-05,48.43239854255895,49.51673484987403,48.27649179251623,49.06700897216797,415039000,55.07785769976238,0.3803057109021921,0.510700392530083,-0.13039468162789092,41.01381598472595,19.635317499939838,50.373779296875,-2.594147874047041,365322150.0,1.1360904341551696,-0.8582109741924748,2.049434697113406,7.8983710583284905,0.02289676526728024,0,13.350000381469727,1,1,0.9274992299392768,92.74992299392768,RSI>50,<10% below,10-20% above,Moderate (1-1.5x),MACD_Below_Signal,VIX<15,0-1 days,0-5% drop,Jan,0
2024-01-08,49.48175412771333,52.24306669740862,49.44877334196531,52.22107696533203,642510000,66.85996799261079,0.6425415331612925,0.537068620656325,0.10547291250496749,41.14269841194153,26.92671842393069,52.22107696533203,0.0,379906500.0,1.6912319215385891,5.514705372281692,6.660540512828272,12.140530509406622,0.06428082859000295,0,13.079999923706055,1,1,0.8058949371347641,80.58949371347641,RSI>50,<10% below,>20% above,High (1.5-2x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-09,52.368989354850214,54.291813775257275,51.658421354299875,53.10753631591797,773100000,69.29728419100103,0.9113892448564869,0.6119327454963575,0.2994564993601294,41.272401342391966,28.675663611968773,53.10753631591797,0.0,400600300.0,1.9298537719517435,10.322216786957883,8.82653756775753,11.859554283551766,0.01697512579402427,0,12.760000228881836,1,1,0.7403714829854886,74.03714829854886,RSI>50,<10% below,>20% above,High (1.5-2x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-10,53.583242649549845,54.56663878860677,53.45631753001993,54.31679153442383,533796000,72.2910812578449,1.2081035179474213,0.7311668999865703,0.4769366179608511,41.410208740234374,31.167635196316578,54.31679153442383,0.0,401803700.0,1.328499463792892,14.25507905477228,10.290378954729329,16.563344570948345,0.022769936291384907,0,12.6899995803833,1,1,0.7439643352493861,74.39643352493862,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-11,54.965399369459846,55.312187494704844,53.527279337957886,54.78850555419922,596759000,73.38145497905533,1.4644340124828261,0.8778203224858214,0.5866136899970047,41.55161358833313,31.85650525394456,54.78850555419922,0.0,413022300.0,1.4448590306140854,14.217243478215224,10.937526068910298,15.034506400093228,0.008684497122338986,0,12.4399995803833,1,1,0.7400036400403887,74.00036400403887,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-12,54.58662953889082,54.93641799826661,54.29680960809761,54.67657470703125,352994000,72.65090069799932,1.6396450843534893,1.0301852748593552,0.6094598094941341,41.693063240051266,31.140699334626337,54.78850555419922,-0.20429622242067141,408282400.0,0.8645829455298587,11.432459105149784,10.476133512296858,13.77056014462925,-0.0020429622242067458,1,12.699999809265137,1,1,0.7355961737891834,73.55961737891835,RSI>50,<10% below,>20% above,Normal (0.75-1x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-16,54.984391900558016,56.800279452629056,54.86646395445467,56.347557067871094,449580000,76.42433566099362,1.8915310402809382,1.202454427943672,0.6890766123372662,41.84000037193298,34.67389236848583,56.347557067871094,0.0,411199800.0,1.0933371076542353,7.9019437023072125,13.852417988454736,16.612208541003536,0.030561211447376113,0,13.84000015258789,1,1,0.841081825994332,84.1081825994332,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-17,56.3125759716749,56.43650076516492,54.70655929384397,56.01875686645508,474394000,74.25336053554976,2.0410926017603472,1.3701820627070072,0.6709105390533401,41.98330025672912,33.43104644918032,56.347557067871094,-0.5835216618530118,410922100.0,1.1544621231128722,5.4817465702405865,16.369801121890326,14.651245839446503,-0.005835216618530148,1,14.789999961853027,1,1,0.899523465505335,89.9523465505335,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-18,57.225023275703855,57.56481575240513,56.07272766296372,57.07211685180664,491650000,76.55145800320764,2.219038865548491,1.5399534232753038,0.6790854422731871,42.129898681640626,35.46701662654968,57.07211685180664,0.0,414875250.0,1.1850550255769656,5.072695274419137,20.05089105076756,14.038392864288785,0.018803701550584195,0,14.130000114440918,1,1,0.9946125665918037,99.46125665918038,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-19,57.953569636409725,59.463648066531206,57.19003646845247,59.454654693603516,543501000,80.73912056622632,2.5232272605623365,1.7366081907327104,0.786619069829626,42.28747061729431,40.59638428525054,59.454654693603516,0.0,418828100.0,1.297670810530621,8.51665708382634,23.94473443585383,19.931866901682337,0.04174609201868873,0,13.300000190734863,1,1,0.9302144064157352,93.02144064157352,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-22,60.01232052303933,60.29414976562131,59.03391842649556,59.61756134033203,452955000,80.98912154052309,2.7457921770721825,1.938444988000605,0.8073471890715775,42.44841484069824,40.44708515987395,59.61756134033203,0.0,421581150.0,1.0744194800929785,9.036752319938923,21.502334438499403,23.992445438284783,0.0027400150176306592,0,13.1899995803833,1,1,0.852435433831747,85.2435433831747,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-23,59.53360947543731,59.8734019281728,58.549210583878605,59.83642578125,294654000,81.33955745921926,2.906334592108145,2.1320229088221128,0.7743116832860322,42.6133108329773,40.417218497240526,59.83642578125,0.0,421292600.0,0.6994046418095167,6.19169471566714,14.582902648625119,22.21474330031137,0.0036711404491800437,0,12.550000190734863,1,1,0.8311782151454568,83.11782151454568,RSI>50,<10% below,>20% above,Low (<0.75x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-24,60.26716017281773,62.810603561548206,59.901382639629475,61.32451248168945,560271000,83.55867791686553,3.117702835352482,2.3291588941281867,0.7885439412242952,42.784867973327636,43.33224662495056,61.32451248168945,0.0,436680800.0,1.2830218319651334,9.471391212559288,15.472335445748397,25.66454451423439,0.02486924446121841,0,13.140000343322754,1,1,0.8742118380903334,87.42118380903334,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-25,62.3119072339738,62.680685096135214,60.81282362309359,61.5793571472168,482777000,83.91154032985375,3.2681048472771224,2.516948084757974,0.7511567625191482,42.95499172210693,43.35786058486137,61.5793571472168,0.0,448609650.0,1.0761627619914105,7.897447201956154,13.370755907388677,25.03703631410017,0.004155673730034781,0,13.449999809265137,1,1,0.8897783816160647,88.97783816160647,RSI>50,<10% below,>20% above,Moderate (1-1.5x),MACD_Hist_Pos,VIX<15,0-1 days,>5% gain,Jan,0
2024-01-26,60.92275760795634,61.74525668401416,60.535996808090815,60.99371337890625,390309000,79.67942479482078,3.3019797999195006,2.67395442779028,0.6280253721292208,43.12423544883728,41.43720519119549,61.5793571472168,-0.9510391070021363,456442700.0,0.8551106195805082,2.5886260600354927,11.325747548577624,23.502030208112544,-0.009510391070021385,1,13.260000228881836,1,1,1.0062877693954193,100.62877693954194,RSI>50,<10% below,>20% above,Normal (0.75-1x),MACD_Hist_Pos,VIX<15,0-1 days,0-5% gain,Jan,0
2024-01-29,61.19458949954275,62.45082152019551,60.86979110422985,62.42683792114258,348733000,82.06344506758914,3.4052139308585083,2.8202063284039256,0.5850076024545827,43.304011821746826,44.15947921433106,62.42683792114258,0.0,461550000.0,0.7555692774347308,4.712162855460567,14.174741661559608,26.135840035344636,0.023496266464929638,0,13.600000381469727,1,1,0.9371435837886648,93.71435837886648,RSI>50,<10% below,>20% above,Normal (0.75-1x),MACD_Hist_Pos,VIX<15,0-1 days,0-5% gain,Jan,0
2024-01-30,62.861575397836866,63.45421163481392,62.221963176710254,62.73564910888672,410735000,82.53882536567512,3.471924026418705,2.9505498680068816,0.5213741584118234,43.485492115020755,44.26799849234448,62.73564910888672,0.0,462622100.0,0.8878412855762835,4.845248174140115,11.336945864966452,26.75980498176116,0.004946769659136541,0,13.3100004196167,1,1,0.9258558460063966,92.58558460063966,RSI>50,<10% below,>20% above,Normal (0.75-1x),MACD_Hist_Pos,VIX<15,0-1 days,0-5% gain,Jan,0
