date,stack,signal_price,end_price,price_change,price_change_pct,max_move_up_pct,max_move_down_pct,max_favorable_pct,trend_continued,continuation_pass,open_to_signal_pct,still_falling,is_new_low,signal_bar_red,ema9,ema48,ema200
2026-03-10,bullish,184.43,184.16,-0.27,-0.15,1.09,-0.23,1.09,False,True,1.12,False,False,False,183.5,181.61,180.74
2026-03-11,bullish,185.93,185.48,-0.45,-0.24,0.45,-0.8,0.45,False,False,0.01,True,False,True,186.57,185.46,183.29
2026-03-12,neutral,182.1,183.52,1.42,0.78,1.56,-0.19,,,False,-1.06,True,True,False,182.77,184.41,184.19
2026-03-13,neutral,183.74,180.56,-3.18,-1.73,0.01,-2.03,,,False,-0.63,True,False,True,184.07,183.89,183.93
2026-03-16,neutral,183.82,182.87,-0.96,-0.52,2.74,-1.31,,,False,0.47,True,False,True,183.94,182.37,182.78
2026-03-17,neutral,183.08,182.58,-0.5,-0.28,0.21,-0.76,,,False,-1.06,False,False,False,183.06,183.66,183.46
2026-03-18,bearish,182.38,181.13,-1.24,-0.68,0.47,-0.82,-0.82,True,False,-0.06,True,False,False,182.45,182.5,182.95
2026-03-19,bearish,178.4,178.57,0.17,0.1,0.89,-0.47,-0.47,False,False,0.22,False,False,False,177.96,179.97,181.88
2026-03-20,bearish,175.95,172.32,-3.63,-2.06,0.29,-2.09,-2.09,True,False,-1.15,True,False,False,176.2,177.7,179.79
2026-03-23,neutral,177.87,176.47,-1.4,-0.78,0.28,-1.75,,,False,0.35,False,False,False,177.36,175.57,177.32
2026-03-24,bearish,174.54,175.35,0.82,0.47,0.96,-0.2,-0.2,False,False,-0.13,True,False,False,174.62,175.54,176.55
2026-03-25,bullish,180.1,178.35,-1.74,-0.97,0.62,-1.26,0.62,False,True,1.69,False,False,False,179.33,176.98,176.33
2026-03-26,bearish,174.92,171.92,-3.0,-1.72,0.14,-1.93,-1.93,True,False,-0.71,True,True,False,175.39,177.33,177.37
2026-03-27,bearish,168.14,167.4,-0.74,-0.44,1.07,-0.55,-0.55,True,False,-1.09,True,True,False,168.72,171.22,174.53
